@relation performance-counters

@attribute BRANCH_INSTRUCTIONS_RETIRED numeric
@attribute CACHE-REFERENCES numeric
@attribute CYCLES numeric
@attribute INSTRUCTION_RETIRED numeric
@attribute INSTRUCTIONS numeric
@attribute LLC_MISSES numeric
@attribute LLC_REFERENCES numeric
@attribute MAJOR-FAULTS numeric
@attribute MINOR-FAULTS numeric
@attribute MISPREDICTED_BRANCH_RETIRED numeric
@attribute UNHALTED_CORE_CYCLES numeric
@attribute UNHALTED_REFERENCE_CYCLES numeric
@attribute class {M0,M1,M2,M3}

@data
98916093,739907,201674297,221835392,221459754,359849,1461125,0,68,628743,127443403,6,M0
46120796,1347696,189175207,413730847,416330692,167214,668501,0,55,576612,235255574,12,M0
89184916,1349063,189926967,208892083,418007936,162135,666161,0,62,579106,119427093,12,M0
91164680,657703,190682966,208100401,418620854,325360,661935,0,64,601177,118788419,13,M0
46292970,1363321,187997059,421704969,417296007,165885,668681,0,63,570948,237918006,6,M0
44758105,1313654,185775574,402600524,406769450,162712,661856,0,62,568499,232679489,6,M0
44638083,1340759,187891770,424339968,420986233,163784,655148,0,57,560436,238567679,12,M0
44885000,1331992,183014638,414807790,405956575,169030,689375,0,64,564228,233498368,12,M0
43036191,1260799,175513862,195970654,386686485,156143,634653,0,53,523244,219771264,6,M0
92669381,685895,189962479,338501347,425802738,165758,1096567,0,65,559924,191591297,13,M0
44459610,1319059,184182231,204491588,203877986,161727,1313229,0,52,581992,233649083,6,M0
91855873,691233,188733481,208756520,416870676,337155,674922,0,60,589326,118682420,6,M0
45888464,687192,192103275,426147619,212064103,336737,1396415,0,56,605998,240196838,13,M0
44520548,1336537,184263815,405922324,204663956,159567,1283252,0,63,548819,227916018,12,M0
45689721,1363339,187989376,334775624,414862749,163507,1062444,0,61,568769,187259153,12,M0
45946433,681151,194170669,425732761,214319636,333075,1324470,0,58,579771,239385257,13,M0
93089828,695100,194021276,216257109,215289492,347420,1369239,0,59,590863,122628670,6,M0
84746402,623817,173815292,192012132,189711586,309135,1241144,0,55,544648,108810419,11,M0
45419763,1374539,190452767,429398494,426571550,168840,689255,0,60,555222,241849285,13,M0
44656334,1355049,187582388,406507328,403802988,163110,664631,0,58,581365,231994989,6,M0
42292396,1253034,172603752,388421066,382657890,151523,629176,0,58,526648,213746006,6,M0
45727004,1364848,188153615,414717160,418166850,167762,682292,0,64,558414,234176357,6,M0
89296928,654902,186705041,409541707,206521407,332721,1352799,0,62,574453,116780148,6,M0
43856072,1297043,179653302,411318205,397556177,155694,639858,0,53,557693,229240999,12,M0
45570385,1346543,195471755,419926039,427731641,165766,672782,0,61,593832,239185702,13,M0
46092397,1345213,189222436,411443818,413733362,165597,663642,0,66,592163,232696449,12,M0
69310835,1299089,183820679,322660678,403002315,161953,1030218,0,57,555060,112348074,12,M0
44754850,1337639,186145658,413761352,416607597,164822,649956,0,56,552929,232105383,12,M0
69306675,1255572,178358584,311640600,196288866,159019,1275172,0,50,557156,110869845,11,M0
91593279,1370388,192245141,213638315,432094713,166422,698232,0,54,574265,119296217,6,M0
91223327,681740,189754005,209182253,208623298,333364,1369087,0,62,570750,119437545,6,M0
45940138,1341745,191277944,406451948,208768701,163898,1307813,0,62,585317,234069055,12,M0
89099434,657289,183378270,203384422,406604410,322234,653806,0,59,567190,114643767,6,M0
90654404,1361442,187002148,414589248,410588082,164327,687535,0,64,593343,118292874,12,M0
43976002,1260516,179847994,202429171,396363372,156543,630989,0,49,549130,226483098,6,M0
89178702,668601,185618845,203949153,203875517,327553,1306458,0,64,572836,115909387,6,M0
47765996,1400998,201282135,438177722,443366794,174059,701804,0,68,615902,250145659,6,M0
42960428,1275896,178399983,396554716,393782990,156448,633186,0,55,555491,224962379,6,M0
93069359,689183,192085469,413933231,209184598,347365,1340096,0,65,599505,118922821,13,M0
43355307,1276426,179284308,394068968,398905991,157845,656325,0,58,518279,223864367,6,M0
88098384,1282413,179859250,201163193,397770652,163183,656483,0,60,559226,113519592,6,M0
45628058,1337887,188906341,206255876,417297216,161810,677392,0,64,569503,232825282,12,M0
89779553,652381,184585743,404452414,406964654,319114,659006,0,64,571591,115589581,12,M0
84737386,633671,178127124,198529075,199169695,308443,1231061,0,50,514669,111908341,5,M0
46895123,1394322,191715934,421877483,420418251,175371,694862,0,62,605942,239936970,6,M0
92918327,694547,193995864,209224252,212640170,334464,1398583,0,62,607079,120491155,13,M0
86486297,648565,179556673,197828003,198768755,315183,1292677,0,56,548893,112312211,6,M0
45343189,1332284,185552240,416538209,411320527,166171,677488,0,63,555273,232738670,12,M0
43885829,662174,183327862,398828045,203286389,317372,1340909,0,54,530352,226352304,12,M0
45198518,1334451,185305316,409158606,405417972,165578,657627,0,61,574876,234421024,12,M0
165038037,908183,252935092,332927002,667391522,176693,453007,0,93,255346,157791235,7,M3
80739565,942575,251915333,652959431,651142495,175730,467245,0,95,272416,315226075,7,M3
81968533,947838,251579648,652085709,326501870,177395,949239,0,94,268095,314142301,7,M3
164124361,458656,251694988,332698609,663733788,353676,461049,0,93,269868,157600452,7,M3
163601023,467906,251668055,325220817,324697673,354653,937302,0,98,284763,157289234,14,M3
164202589,943986,252173502,325712078,650865696,182400,472013,0,100,272871,157485914,7,M3
162507142,911309,251939208,654534776,656196593,174044,457626,0,103,251115,157156096,7,M3
81207297,937232,252198742,324410601,646514161,178936,470260,0,98,278379,316267818,7,M3
82844539,916356,252064245,666679415,334514306,173173,917390,0,94,262439,313698552,14,M3
82768348,451373,252543624,333782263,333312908,355382,907192,0,96,268065,315073445,14,M3
162422554,487331,251657178,322139846,321313687,365113,981695,0,97,258829,157761172,14,M3
81494524,906291,249471213,656706337,329125089,168323,906317,0,93,256362,310966868,14,M3
82245171,931171,250727673,663815061,663224001,173865,470240,0,96,269280,313637319,7,M3
79640656,967966,251660583,322505129,322414210,172854,963397,0,96,295588,314616159,7,M3
161455617,930890,250379017,327895157,652551998,169009,465939,0,95,276038,157579776,7,M3
82648477,469250,252754507,668544577,334511168,354620,938040,0,97,255952,315988484,14,M3
164671337,920554,252834046,332565927,663427732,179268,463304,0,103,259210,158191172,7,M3
80297034,937415,250235662,633997744,317736470,173753,936763,0,99,277089,311971514,14,M3
163794116,465327,251863223,326206850,325715917,361676,932593,0,104,260446,157688132,7,M3
164146061,422061,252994989,338099972,676265907,314036,423039,0,85,281711,158009879,7,M3
164074629,458828,252230003,325528407,327310205,353823,914501,0,98,271379,157111993,7,M3
81617843,894997,250608409,656560719,657887546,171077,445383,0,96,274175,312309675,14,M3
164813752,897759,252197531,332202791,664108974,176403,453527,0,97,243755,157391438,7,M3
82127666,952535,251537283,325097054,324712984,179645,954705,0,99,279711,314165628,7,M3
79036155,937916,252015309,626043088,312999226,177156,938148,0,91,332993,315256808,14,M3
81878194,942524,249877489,649212380,649606257,171269,471720,0,91,284790,311242576,14,M3
164090809,998957,253159921,663539386,332509597,176732,994336,0,97,266864,157815654,14,M3
163426085,484874,252293042,646109452,324787032,358045,971376,0,94,283000,156913463,14,M3
81763593,924703,250580753,323690007,646741782,176278,459919,0,95,297047,312957078,7,M3
82256056,898098,253124493,664119250,664365635,178713,451058,0,97,256406,316110312,7,M3
82838341,948448,253262597,668685904,333816711,174569,955678,0,90,268407,316468450,14,M3
82437974,944907,249998672,328377796,653989578,176537,472903,0,91,274681,312999618,14,M3
81138897,466324,253444057,652014382,326687476,361293,928976,0,97,271686,315508429,14,M3
81531936,961083,252144936,643813863,321389433,184023,962935,0,97,266194,315071831,14,M3
82382166,917304,251902042,653999242,652802730,179873,460668,0,98,288595,314627761,7,M3
131426601,941130,251338040,522433235,326333818,177723,933287,0,98,266938,313842835,14,M3
81762058,947460,253871110,643782925,644395124,180211,473824,0,92,322671,317338011,7,M3
161765671,477632,250136121,319418023,319768635,356246,953952,0,96,289699,156088342,7,M3
82966954,472015,253546391,335584770,671868879,355368,467163,0,91,270393,316983083,7,M3
164312107,456957,253061131,332495279,663995979,354320,455397,0,97,260087,158432022,7,M3
82503770,448960,252510125,666752107,334462342,347526,890885,0,90,264199,315250249,14,M3
161147181,463011,254556337,326347988,326417742,357692,923797,0,100,288641,159223081,14,M3
130645886,932551,252685779,519653040,649582298,180341,467122,0,101,280604,157882847,14,M3
163807560,463672,250448069,650149611,649497585,351221,461671,0,94,273527,156761617,7,M3
81510529,940706,251946212,659339404,658862421,177066,467753,0,96,266549,314877981,14,M3
82554733,913883,251816517,332235403,664147965,175671,461496,0,96,258965,313971976,7,M3
164184556,449432,250907498,326072049,651727112,353803,453691,0,92,284621,156770950,7,M3
162827977,958054,251372222,323463757,324742691,175642,958091,0,98,266953,156899601,14,M3
81960606,935123,249618602,648864843,648380779,176997,470911,0,96,270759,312026389,14,M3
